myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.74,0.47682675094154703,0.48,0.687915588946567,0.826,0.349,Ventromedial hypothalamus (ventrolateral),Rps28
0.74,0.47939979512154296,0.48,0.6916277070250351,0.879,0.464,Ventromedial hypothalamus (ventrolateral),Rps27a
0.739,0.46475206404251135,0.478,0.6704954980370412,0.907,0.517,Ventromedial hypothalamus (ventrolateral),Cox7c
0.739,0.4553270164698726,0.478,0.6568980286438522,0.968,0.744,Ventromedial hypothalamus (ventrolateral),Tmsb4x
0.737,0.4232256335619672,0.474,0.6105855227169397,0.825,0.373,Ventromedial hypothalamus (ventrolateral),Rpl39
0.736,0.3658112198827457,0.472,0.5277540328263792,0.998,0.954,Ventromedial hypothalamus (ventrolateral),Cd81
0.733,0.45099283688906344,0.46599999999999997,0.65064512925629725,0.831,0.429,Ventromedial hypothalamus (ventrolateral),Atp5h
0.732,0.4245809673447425,0.46399999999999997,0.6125408560440988,0.976,0.787,Ventromedial hypothalamus (ventrolateral),Cox8a
0.731,0.49366720068305775,0.46199999999999997,0.7122112222749843,0.654,0.214,Ventromedial hypothalamus (ventrolateral),Mfsd2a
0.73,0.44303445326727786,0.45999999999999996,0.6391636086716552,0.918,0.588,Ventromedial hypothalamus (ventrolateral),Ndufa4
0.729,0.4478617109717784,0.45799999999999996,0.6461278694230308,0.841,0.445,Ventromedial hypothalamus (ventrolateral),Cox5b
0.728,0.43785358313193445,0.45599999999999996,0.6316891930199051,0.884,0.497,Ventromedial hypothalamus (ventrolateral),Rpl19
0.728,0.4053614080846333,0.45599999999999996,0.5848128932114678,0.991,0.87,Ventromedial hypothalamus (ventrolateral),Agt
0.727,0.4394755713478735,0.45399999999999996,0.6340292273754209,0.787,0.336,Ventromedial hypothalamus (ventrolateral),Elob
0.727,0.4385078495765029,0.45399999999999996,0.6326330999749041,0.658,0.209,Ventromedial hypothalamus (ventrolateral),Rpl27
0.727,0.4484927637029381,0.45399999999999996,0.6470382860688143,0.816,0.368,Ventromedial hypothalamus (ventrolateral),Rpl11
0.725,0.43477553572202476,0.44999999999999996,0.6272485092860074,0.803,0.407,Ventromedial hypothalamus (ventrolateral),Ndufb9
0.723,0.46085579198380916,0.44599999999999995,0.6648743656599974,0.742,0.329,Ventromedial hypothalamus (ventrolateral),Rps20
0.72,0.41840529714366786,0.43999999999999995,0.6036312472708426,0.778,0.356,Ventromedial hypothalamus (ventrolateral),Cox5a
0.72,0.27842843808790185,0.43999999999999995,0.40168732687187614,0.999,0.966,Ventromedial hypothalamus (ventrolateral),Mt1
0.716,0.4026656848140624,0.43199999999999994,0.5809237866174063,0.786,0.352,Ventromedial hypothalamus (ventrolateral),Rpl36
0.714,0.44052687991776684,0.42799999999999994,0.63554594503565,0.795,0.419,Ventromedial hypothalamus (ventrolateral),Rpl22l1
0.713,0.40463367905436637,0.42599999999999993,0.583763002148391,0.697,0.284,Ventromedial hypothalamus (ventrolateral),Naca
0.713,0.4088995720910256,0.42599999999999993,0.5899173848773418,0.687,0.275,Ventromedial hypothalamus (ventrolateral),Ndufa5
0.712,0.3939193136208571,0.42399999999999993,0.5683054402711949,0.795,0.366,Ventromedial hypothalamus (ventrolateral),Rps11
0.712,0.4095333305831712,0.42399999999999993,0.5908317051110815,0.631,0.218,Ventromedial hypothalamus (ventrolateral),Ndufab1
0.707,0.38178329436367275,0.4139999999999999,0.550796865472722,0.801,0.376,Ventromedial hypothalamus (ventrolateral),Rpl23
0.707,0.3942160584147166,0.4139999999999999,0.5687335525137056,0.714,0.322,Ventromedial hypothalamus (ventrolateral),Rpl18
0.707,0.3823215279979175,0.4139999999999999,0.5515733724676865,0.818,0.423,Ventromedial hypothalamus (ventrolateral),Atp5j2
0.705,0.3713580254011237,0.4099999999999999,0.5357563816405193,0.946,0.762,Ventromedial hypothalamus (ventrolateral),Actb
0.702,0.37260750676240095,0.4039999999999999,0.5375590022041168,0.737,0.319,Ventromedial hypothalamus (ventrolateral),Atp5md
0.702,0.38534621922998624,0.4039999999999999,0.5559370795084128,0.756,0.362,Ventromedial hypothalamus (ventrolateral),Rps3a1
0.701,0.294805385400995,0.4019999999999999,0.42531426754537505,0.764,0.348,Ventromedial hypothalamus (ventrolateral),Rps2
0.701,0.385348748235277,0.4019999999999999,0.5559407280918038,0.876,0.572,Ventromedial hypothalamus (ventrolateral),Ubc
0.701,0.37519178945713316,0.4019999999999999,0.5412873340320619,0.78,0.387,Ventromedial hypothalamus (ventrolateral),Atp5e
0.916,2.1069910809823655,0.8320000000000001,3.039745583730535,0.896,0.477,Arcuate Nucleus/Median Eminence,mt-Co2
0.91,2.2242697131467795,0.8200000000000001,3.2089428847563752,0.897,0.455,Arcuate Nucleus/Median Eminence,mt-Co3
0.907,1.6470933149794111,0.8140000000000001,2.3762533574021605,0.953,0.76,Arcuate Nucleus/Median Eminence,mt-Co1
0.87,1.2228654479252055,0.74,1.7642219173961549,0.803,0.155,Arcuate Nucleus/Median Eminence,mt-Nd4l
0.865,1.1481663059259237,0.73,1.6564538356751308,0.806,0.152,Arcuate Nucleus/Median Eminence,mt-Nd3
0.86,1.4901118939305562,0.72,2.1497770397432747,0.898,0.658,Arcuate Nucleus/Median Eminence,mt-Atp6
0.776,0.5647248174274422,0.552,0.8147256935694958,0.998,0.938,Arcuate Nucleus/Median Eminence,mt-Nd4
0.755,0.6988814542530968,0.51,1.0082728082202097,0.992,0.895,Arcuate Nucleus/Median Eminence,mt-Nd2
0.745,0.6031820316719463,0.49,0.8702077258464469,0.675,0.215,Arcuate Nucleus/Median Eminence,Lars2
0.727,0.6904953940870876,0.45399999999999996,0.9961742808061118,0.744,0.442,Arcuate Nucleus/Median Eminence,Hsp90aa1
0.713,0.44820974711697575,0.42599999999999993,0.6466299794437572,0.711,0.355,Arcuate Nucleus/Median Eminence,Dst
0.711,0.48462613427864504,0.42199999999999993,0.69916772060899,0.673,0.3,Arcuate Nucleus/Median Eminence,Syne1
0.71,0.9162653020832212,0.41999999999999993,1.3218914074540913,0.65,0.366,Arcuate Nucleus/Median Eminence,Ttc3
0.705,0.41004185410663685,0.4099999999999999,0.5915653494765606,0.698,0.337,Arcuate Nucleus/Median Eminence,Ddx17
0.703,0.3754951963511649,0.4059999999999999,0.541725057653453,0.829,0.545,Arcuate Nucleus/Median Eminence,Kif1b
0.701,0.5090483767931027,0.4019999999999999,0.7344015687719857,0.626,0.29,Arcuate Nucleus/Median Eminence,Mycbp2
0.702,0.891431364027893,0.4039999999999999,1.2860636081759256,0.771,0.602,Hypothalamus,Ntm
0.921,0.927282131676652,0.8420000000000001,1.3377853328748528,1,0.896,Ventroposterior hypothalamus,mt-Nd2
0.896,0.8933347810027068,0.792,1.2888096584062336,1,0.937,Ventroposterior hypothalamus,mt-Nd1
0.881,0.6969427459467648,0.762,1.005475843360934,1,0.939,Ventroposterior hypothalamus,mt-Nd4
0.834,0.7182895963762703,0.6679999999999999,1.0362728386141802,0.795,0.16,Ventroposterior hypothalamus,mt-Nd3
0.828,0.7317096310040585,0.6559999999999999,1.0556338560202485,0.905,0.426,Ventroposterior hypothalamus,Rps15
0.82,0.8018219977912837,0.6399999999999999,1.1567846198891663,0.948,0.614,Ventroposterior hypothalamus,Id2
0.811,0.6970098258095522,0.6220000000000001,1.0055726191463212,0.827,0.287,Ventroposterior hypothalamus,Rpl23a
0.796,0.8914911886531373,0.5920000000000001,1.2861499168660886,0.912,0.492,Ventroposterior hypothalamus,Mbp
0.788,0.6149225940127201,0.5760000000000001,0.8871457769127289,0.937,0.548,Ventroposterior hypothalamus,Rps14
0.785,0.6219287491895282,0.5700000000000001,0.8972535222420084,0.926,0.568,Ventroposterior hypothalamus,Rps8
0.778,0.6247592050924691,0.556,0.9013370069366361,0.752,0.265,Ventroposterior hypothalamus,Pcp4
0.76,0.5148952072833488,0.52,0.7428367621251821,0.959,0.688,Ventroposterior hypothalamus,Rplp1
